date,semester,log(M1),log(GNP),rs,rl
1975,Q1,6.225152,7.879556,0.058700000,0.06703333
1975,Q2,6.228116,7.889684,0.054000000,0.06973333
1975,Q3,6.225548,7.906510,0.063333333,0.07093333
1975,Q4,6.216606,7.920338,0.056833333,0.07223333
1976,Q1,6.218998,7.938945,0.049533333,0.06910000
1976,Q2,6.225548,7.943392,0.051666667,0.06886667
1976,Q3,6.219795,7.947537,0.051700000,0.06790000
1976,Q4,6.225152,7.957457,0.046966667,0.06550000
1977,Q1,6.230678,7.971086,0.046233333,0.07013333
1977,Q2,6.229891,7.987083,0.048266667,0.07096667
1977,Q3,6.233234,8.006967,0.054733333,0.06976667
1977,Q4,6.240276,8.004399,0.061366667,0.07160000
1978,Q1,6.241639,8.013178,0.064100000,0.07580000
1978,Q2,6.242418,8.044273,0.064833333,0.07850000
1978,Q3,6.239301,8.052806,0.073166667,0.07933333
1978,Q4,6.233822,8.065139,0.086800000,0.08196667
1979,Q1,6.221186,8.065171,0.093600000,0.08436667
1979,Q2,6.206778,8.064291,0.093733333,0.08436667
1979,Q3,6.208992,8.073216,0.096300000,0.08483333
1979,Q4,6.189495,8.071312,0.118033330,0.09606667
1980,Q1,6.161207,8.081289,0.134600000,0.11150000
1980,Q2,6.111911,8.057377,0.100500000,0.10016667
1980,Q3,6.141822,8.058042,0.092366667,0.10433333
1980,Q4,6.142682,8.070656,0.137100000,0.11640000
1981,Q1,6.120957,8.089820,0.143666670,0.12010000
1981,Q2,6.117436,8.086472,0.148300000,0.12656667
1981,Q3,6.106800,8.090893,0.150866670,0.13600000
1981,Q4,6.102782,8.076919,0.120233330,0.13230000
1982,Q1,6.111911,8.061613,0.128933330,0.13446667
1982,Q2,6.102782,8.064605,0.123600000,0.12943333
1982,Q3,6.107246,8.056585,0.097066667,0.12200000
1982,Q4,6.141822,8.058106,0.079333333,0.10340000
1983,Q1,6.164998,8.066710,0.080800000,0.10436667
1983,Q2,6.182705,8.088961,0.084200000,0.10346667
1983,Q3,6.201725,8.103615,0.091866667,0.11260000
1983,Q4,6.207382,8.121213,0.087933333,0.11323333
1984,Q1,6.209596,8.146622,0.091333333,0.11543333
1984,Q2,6.215408,8.159947,0.098433333,0.12686667
1984,Q3,6.217604,8.166387,0.103433330,0.12340000
1984,Q4,6.218998,8.170525,0.089733333,0.11373333
1985,Q1,6.236370,8.182420,0.081833333,0.11426667
1985,Q2,6.250361,8.188467,0.075233333,0.10913333
1985,Q3,6.280209,8.198584,0.071033333,0.10590000
1985,Q4,6.297478,8.205874,0.071466667,0.10080000
1986,Q1,6.316081,8.221291,0.068866667,0.08903333
1986,Q2,6.357496,8.219218,0.061300000,0.07946667
1986,Q3,6.393591,8.221828,0.055333333,0.07886667
1986,Q4,6.429719,8.225423,0.053400000,0.07840000
1987,Q1,6.448731,8.236606,0.055333333,0.07636667
1987,Q2,6.453310,8.248791,0.057333333,0.08576667
1987,Q3,6.445879,8.259795,0.060333333,0.09083333
1987,Q4,6.446513,8.274612,0.060033333,0.09240000
